gene	distance
100088at32523	0.9
101062at32523	1
103667at32523	0.6470588235294118
104070at32523	0.7647058823529411
105251at32523	0.625
106993at32523	0.6923076923076923
108898at32523	0.7333333333333333
109624at32523	0.6666666666666666
109646at32523	0.7
113306at32523	0.6470588235294118
113607at32523	0.8125
113921at32523	0.8125
115499at32523	0.625
117158at32523	0.8333333333333334
117499at32523	0.7058823529411765
118839at32523	0.8888888888888888
119666at32523	0.6666666666666666
121468at32523	0.75
122044at32523	0.625
124683at32523	0.8666666666666667
125206at32523	0.6666666666666666
127508at32523	0.625
130217at32523	0.8235294117647058
130482at32523	0.6470588235294118
132408at32523	0.875
133426at32523	0.875
134746at32523	0.6428571428571429
134798at32523	0.8
134832at32523	1
135131at32523	0.6666666666666666
136252at32523	0.7777777777777778
136768at32523	0.7142857142857143
138015at32523	0.7647058823529411
138400at32523	0.7647058823529411
138465at32523	0.8666666666666667
138588at32523	0.7222222222222222
142573at32523	1
142910at32523	1
143078at32523	0.7333333333333333
143557at32523	0.8461538461538461
144001at32523	0.7222222222222222
144087at32523	1
144618at32523	0.6153846153846154
144786at32523	1
145311at32523	0.7647058823529411
145469at32523	0.7058823529411765
146229at32523	0.625
146870at32523	0.8235294117647058
149835at32523	0.625
152640at32523	0.7647058823529411
155190at32523	0.875
155642at32523	0.6666666666666666
155788at32523	0.6666666666666666
156036at32523	0.7142857142857143
156110at32523	0.6923076923076923
156676at32523	0.7647058823529411
157522at32523	0.7058823529411765
158268at32523	0.8823529411764706
158493at32523	0.6875
159224at32523	0.6470588235294118
160316at32523	0.6666666666666666
160659at32523	0.6666666666666666
162030at32523	0.75
162427at32523	0.6470588235294118
163180at32523	0.6666666666666666
163188at32523	0.9411764705882353
163226at32523	0.625
163231at32523	0.75
165494at32523	0.75
166016at32523	1
167127at32523	0.875
167540at32523	0.6666666666666666
168477at32523	0.8333333333333334
169032at32523	0.6923076923076923
169719at32523	0.6363636363636364
171311at32523	0.8235294117647058
17218at32523	0.6666666666666666
172434at32523	0.6666666666666666
173655at32523	0.7333333333333333
174944at32523	0.7333333333333333
174959at32523	0.8
177431at32523	0.7647058823529411
177974at32523	0.6470588235294118
179213at32523	0.875
180491at32523	0.7777777777777778
182643at32523	0.6666666666666666
184953at32523	0.6363636363636364
185471at32523	0.7058823529411765
185487at32523	1
185680at32523	0.8235294117647058
186688at32523	0.7777777777777778
186718at32523	0.6363636363636364
